"sound","character","meaning"
"duò","堕(墮)","fall, sink, let fall; degenerat"
"bì","陛","steps leading throne; throne"
"yíng","莹","luster of gems; bright"
"yìn","荫","shade, shelter; protect"
"jiǎo","狡","cunning, deceitful, treacherous"
"fá","阀","powerful and influential group"
"jiǎo","绞","twist, wring; intertwine; winch"
"gāo","膏","grease, fat; paste, ointment"
"kuǎ","垮","be defeated, fail, collapse"
"jīng","茎(莖)","stem, stalk"
"miǎn","缅","distant, remote; think of"
"lǎ","喇","horn, bugle; lama; final partic"
"róng","绒(絨)","silk, cotton, or woolen fabric"
"jiǎo","搅(攪)","disturb, agitate, stir up"
"dèng","凳","bench; stool"
"suō","梭","weaver's shuttle; go to and fro"
"yā","丫","forked; bifurcation"
"jī","姬","beauty; imperial concubine"
"zhào","诏","decree, proclaim; imperial decr"
"niǔ","钮","button, knob; surname"
"guān","棺","coffin"
"gěng","耿","bright, shining; have guts"
"dì","缔(締)","tie, join, connect; connection"
"xiè","懈","idle, relaxed, remiss"
"jí","嫉","jealousy; be jealous of"
"zào","灶","kitchen stove, cooking stove"
"yún","匀(勻)","equal"
"sì","嗣","to connect, inherit; descendant"
"gē","鸽(鴿)","pigeon, dove; Columba species ("
"zǎo","澡","wash, bathe"
"záo","凿","chisel; bore, pierce"
"wěi","纬(緯)","woof; parallels of latitude"
"fèi","沸","boil, bubble up, gush"
"chóu","畴(疇)","farmland, arable land; category"
"rèn","刃","edged tool, cutlery, knife edge"
"è","遏","stop, suppress, curb, check; a "
"shuò","烁(爍)","shine, glitter, sparkle"
"xiù","嗅","smell, scent, sniff; olfactive"
"bā","叭","trumpet"
"áo","熬","cook down, to boil; endure"
"piē","瞥","take fleeting glance at"
"hái","骸","skeleton, body; leg bone"
"shē","奢","extravagant, wasteful; exaggera"
"zhuó","拙","stupid, clumsy, crude; conventi"
"dòng","栋(棟)","main beams supporting house"
"tǎn","毯","rug, carpet, blanket"
"tóng","桐","name applied various trees"
"shā","砂","sand; pebbles, gravel; gritty"
"mǎng","莽","thicket, underbrush; poisonous"
"xiè","泻(瀉)","drain off, leak; flow"
"píng","坪","level ground; Japanese measure"
"shū","梳","comb; brush"
"shān","杉","various species of pine and fir"
"wù","晤","have interview with; meet"
"zhì","稚","young, immature; childhood"
"shū","蔬","vegetables, greens"
"yíng","蝇","flies"
"dǎo","捣(搗 擣)","hull; thresh; beat, attack"
"qǐng","顷","a moment; a measure of area equ"
"mo","麽","interrogative final particle; i"
"gān","尴(尷)","embarrassed; ill at ease"
"biāo","镖","dart, spear, harpoon; escort"
"chà","诧(詫)","be surprised, be shocked"
"gà","尬","limp, staggering gait; embarras"
"liú","硫","sulfur"
"jiáo","嚼","prattle, be glib"
"xiàn","羡(羡 羨)","envy, admire; praise; covet"
"lún","沦","be lost; sink, be submerged"
"hù","沪","Shanghai; river near Shanghai"
"kuàng","旷(曠)","extensive, wide, broad; empty"
"bīn","彬","cultivated, well-bred"
"yá","芽","bud, sprout, shoot"
"lí","狸","fox"
"míng","冥","dark, gloomy, night; deep"
"tàn","碳","carbon"
"liě","咧","stretch mouth, grimace, grin"
"tì","惕","be cautious, careful, alert"
"shǔ","暑","hot"
"gē","咯","final particle"
"luó","萝","type of creeping plant; turnip"
"xiōng","汹(洶)","turbulent; noisy, restless"
"xīng","腥","raw meat; rank, strong-smelling"
"kuī","窥","peep, watch, spy on, pry"
"ǎn","俺","personal pronoun, I"
"tán","潭","deep pool, lake; deep, profound"
"qí","崎","rough, uneven, jagged, rugged"
"lín","麟","female of Chinese unicorn"
"jiǎn","捡(撿)","to pick up"
"zhěng","拯","help, save, aid; lift, raise"
"jué","厥","personal pronoun he, she, it"
"chéng","澄","purify water by allowing sedime"
"wēi","萎","wither, wilt"
"zāi","哉","final exclamatory particle"
"wō","涡","swirl, whirlpool, eddy"
"tāo","滔","overflow; rushing water"
"xiá","暇","leisure, relaxation, spare time"
"sù","溯","go upstream"
"lín","鳞","fish scales"
"niàng","酿(釀)","brew, ferment"
"yīn","茵","a cushion, mattress; wormwood; "
"è","愕","startled, alarmed, astonished"
"chǒu","瞅","see, look, gaze at"
"mù","暮","evening, dusk, sunset; ending"
"yá","衙","public office; official residen"
"jiè","诫(誡)","warn, admonish; warning"
"fǔ","斧","axe, hatchet; chop, hew"
"xī","兮","exclamatory particle"
"huàn","焕","shining"
"zōng","棕","hemp palm; palm tree"
"yòu","佑","help, protect, bless"
"sī","嘶","neighing of a horse; gravel voi"
"jì","妓","prostitute"
"xuān","喧","lively, noisy; clamor"
"róng","蓉","hibiscus; Chengdu, Sichuan"
"shān","删(刪)","to cut; delete"
"yīng","樱","cherry, cherry blossom"
"sì","伺","serve, wait upon, attend; exami"
"wēng","嗡","sound of flying bees, airplanes"
"é","娥","be beautiful; good; surname"
"shāo","梢","pointed tip of something long l"
"bà","坝(壩)","embankment; dam"
"cán","蚕","silkworms"
"fū","敷","spread, diffuse; apply, paint"
"lán","澜","overflowing; waves, ripples"
"xìng","杏","apricot; almond"
"suī","绥","soothe, appease, pacify"
"yě","冶","smelt, fuse metals; cast, found"
"bì","庇","cover, shield, shelter, protect"
"náo","挠(撓)","scratch; disturb, bother; submi"
"lǒu","搂(摟)","hug, embrace; drag, pull"
"shū","倏","hastily, suddenly, abruptly"
"niè","聂","whisper; surname"
"wǎn","婉","amiable, congenial; restrained"
"zào","噪(譟 噪)","be noisy; chirp loudly"
"jià","稼","sow grain; sheaves of grain"
"qí","鳍","fin"
"líng","菱","water-chestnut, water caltrop"
"zhǎn","盏","small cup or container"
"nì","匿","hide; go into hiding"
"zhī","吱","chirping, squeaking, hissing"
"qǐn","寝","sleep, rest; bed chamber"
"lǎn","揽","grasp, take hold of; monopolize"
"suǐ","髓","bone marrow; essences"
"bǐng","秉","grasp, hold; bundle; authority"
"bǔ","哺","chew food; feed"
"shǐ","矢","arrow, dart; vow, swear"
"pā","啪","syllable"
"zhì","帜(幟)","flag, pennant; sign; fasten"
"shào","邵","surname; various place names"
"sòu","嗽","cough, gargle, clear throat"
"xié","挟","clasp under arm; hold to bosom"
"gāng","缸","earthen jug, crock, cistern"
"róu","揉","rub, massage; crush by hand"
"nì","腻(膩)","greasy, oily, dirty; smooth"
"xún","驯","tame, docile, obedient"
"làn","缆","hawser, heavy-duty rope, cable"
"shǎng","晌","noon, midday; moment; unit land"
"tān","瘫(癱)","paralysis, palsy, numbness"
"zhǔ","贮","store, stockpile, hoard"
"mì","觅(覓)","seek; search"
"méng","朦","condition or appearance of moon"
"pì","僻","out-of-the-way, remote; unortho"
"suí","隋","Sui dynasty; surname"
"màn","蔓","creeping plants, tendrils"
"zhà","咋","question-forming particle"
"qiàn","嵌","inlay, set in; fall into; rugge"
"qián","虔","act with reverence; reverent"
"pàn","畔","boundary path dividing fields"
"suǒ","琐","trifling, petty; troublesome"
"dié","碟","small dish, plate"
"sè","涩","astringent; harsh; uneven"
"lóng","胧","condition or appearance of moon"
"dū","嘟","sound of horn tooting"
"bèng","蹦","hop, leap, jump; bright"
"zhǒng","冢","burial mound, mausoleum; grand"
"liú","浏(瀏)","clear; bright; whistling"
"yì","裔","progeny, descendants, posterity"
"jīn","襟","lapel, collar"
"tāo","叨","talkative; quarrelous"
"jué","诀","take leave of, bid farewell"
"xù","旭","rising sun; brilliance; radiant"
"xiā","虾","shrimp, prawn"
"bù","簿","register, account book"
"pí","啤","beer"
"qín","擒","catch, capture, seize, arrest"
"zǎo","枣","date tree; dates, jujubes; surn"
"gā","嘎","sound of laughter; bad"
"yuàn","苑","pasture, park, garden; mansion"
"móu","牟","make; seek, get; barley; low"
"ōu","呕(嘔)","vomit; annoy, enrage"
"luò","骆","a white horse with black mane; "
"tū","凸","protrude, bulge out, convex"
"xí","熄","put out, extinguish, quash"
"wù","兀","to cut off the feet"
"ō","喔","descriptive of crying or of cro"
"cháng","裳","clothes; skirt; beautiful"
"āo","凹","concave, hollow, depressed; a p"
"shú","赎","buy, redeem; ransome; atone for"
"tún","屯","village, hamlet; camp; station"
"táng","膛","chest; hollow space, cavity"
"jiāo","浇(澆)","spray, water, sprinkle"
"zhuó","灼","burn; broil; cauterize; bright"
"qiú","裘","fur garments; surname"
"pēng","砰","sound of crashing stones, bang!"
"jí","棘","jujube tree; thorns, brambles"
"xiàng","橡","chestnut oak; rubber tree; rubb"
"jiǎn","碱","alkaline, alkali, lye, salt"
"lóng","聋(聾)","deaf"
"mǔ","姥","maternal grandmother; midwife"
"yú","瑜","flawless gem or jewel"
"wú","毋","do not; not; surname; rad. 80"
"yà","娅","mutual term of address used by "
"jū","沮","stop, prevent; defeated"
"méng","萌","bud, sprout"
"qiào","俏","like, similar; resemble; pretty"
"àn","黯","dark, black; sullen, dreary"
"piē","撇","discard, abandon, throw away"
"sù","粟","unhusked millet; grain"
"fèn","粪","manure, dung, shit, excrement"
"yǐn","尹","govern; oversee; director"
"gǒu","苟(茍)","careless, frivolous; illicit; g"
"diān","癫","crazy, mad; madness, mania"
"mǎ","蚂","ant; leech"
"yǔ","禹","legendary hsia dynasty founder"
"liào","廖","surname; name of an ancient sta"
"jiǎn","俭(儉)","temperate, frugal, economical"
"tiē","帖","invitation card; notice"
"jiān","煎","fry in fat or oil; boil in wate"
"lǚ","缕","thread; detailed, precise"
"dòu","窦","surname; hole, burrow; corrupt"
"cù","簇","swarm, crowd together, cluster"
"léng","棱","squared timber; angle, edge"
"kòu","叩","knock, ask; kowtow, bow"
"nè","呐","raise voice, yell out loud"
"yáo","瑶","precious jade"
"shù","墅","villa, country house"
"yīng","莺","oriole, green finch; Sylvia spe"
"tàng","烫(燙)","scald, heat; wash; iron clothes"
"wā","蛙","frog"
"dǎi","歹","bad, vicious, depraved, wicked"
"líng","伶","lonely, solitary; actor"
"cōng","葱","scallions, leeks, green onions"
"xiāo","哮","cough; pant; roar"
"xuàn","眩","to confuse; dizzy, dazed"
"kūn","坤","earth; feminine, female"
"kuò","廓","broad, wide, open, empty; to ex"
"huì","讳(諱)","conceal; shun; regard as taboo"
"tí","啼","weep, whimper; howl, twitter"
"zhà","乍","first time, for the first time"
"bàn","瓣","petal; segment; valves"
"jiǎo","矫","correct, rectify"
"bá","跋","go by foot; epilogue, colophon"
"wǎng","枉","useless, in vain; bent, crooked"
"gěng","梗","stem of flower, branch of plant"
"cè","厕(厠 廁)","mingle with; toilet, lavatory"
"zhuó","琢","polish jade; cut jade"
"jī","讥(譏)","ridicule, jeer, mock; inspect"
"yòu","釉","glaze"
"kū","窟","hole, cave; cellar; underground"
"liàn","敛","draw back, fold back; collect"
"shì","轼","horizontal wooden bar in front"
"lú","庐","hut, cottage; name of a mountai"
"pēi","胚","embryo; unfinished things"
"shēn","呻","groan, moan; recite with intona"
"chuò","绰","graceful, delicate; spacious"
"è","扼","grasp, clutch; choke, strangle"
"yì","懿","virtuous, admirable, esteemed"
"jiǒng","炯","bright, brilliant, clear; hot"
"gān","竿","bamboo pole; penis"
"kāng","慷","ardent; generous, magnanimous"
"yú","虞","concerned about, anxious"
"chuí","锤(錘 鎚)","balance weight on scale; hammer"
"shuān","栓","wooden peg, post or stick"
"jiǎng","桨(槳)","oar, paddle"
"wén","蚊","mosquito; gnat"
"bàng","磅","pound; weigh"
"niè","孽","evil; son of concubine; ghost"
"cán","惭(慚)","ashamed, humiliated; shameful"
"chuō","戳","prick, stab; stamp, seal, chop"
"bǐng","禀","report to, petition"
"è","鄂","Hubei province; startled"
"kuì","馈(餽 饋)","offer food superior; send gift"
"yuán","垣","low wall"
"jiàn","溅(濺)","sprinkle, spray; spill, splash"
"dōng","咚","onomatopoetic, a thumping sound"
"gài","钙","calcium"
"jiāo","礁","reef; jetty; submerged rocks"
"zhāng","彰","clear, manifest, obvious"
"huō","豁","open up, clear; exempt"
"mǐ","眯(瞇)","be blinded"
"lín","磷","phosphorus; water rushing betwe"
"wén","雯","cloud patterns"
"xū","墟","high mound; hilly countryside; "
"yū","迂","doctrinaire, abstruse"
"zhān","瞻","look; look out for; respect"
"lú","颅","skull"
"liú","琉","sparkling stone; glazed, opaque"
"dào","悼","grieve, mourn, lament; grieved"
"hú","蝴","butterfly"
"jiǎn","拣(揀)","choose; select; pick up; gather"
"miǎo","渺","endlessly long, boundless, vast"
"juàn","眷","take interest in, care for"
"mǐn","悯","pity, sympathize with"
"tài","汰","excessive; scour, wash out"
"shè","慑","afraid, scared, fearful"
"shěn","婶","wife of father's younger brothe"
"fěi","斐","graceful, elegant, beautiful"
"xū","嘘","exhale; blow out; deep sigh; hi"
"xiāng","镶(鑲)","insert, inlay, set, mount; fill"
"kàng","炕","the brick-bed in northern China"
"huàn","宦","officialdom"
"pā","趴","lying prone, leaning over"
"bēng","绷","bind, draw firmly, strap"
"jiǒng","窘","embarrassed; hard-pressed"
"xiāng","襄","aid, help, assist; undress"
"pò","珀","amber"
"xiāo","嚣","be noisy; treat with contempt"
"pàn","拚","risk, disregard; go all out for"
"zhuó","酌","serve wine; feast; deliberate"
"zhuó","浊(濁)","muddy, turbid, dirty, filthy"
"yù","毓","give birth to; bring up"
"hàn","撼","move, shake; (Cant.) to fight"
"shì","嗜","be fond of, have weakness for"
"káng","扛(摃 扛)","carry on shoulders; lift"
"qiào","峭","steep, precipitous, rugged"
"kē","磕","hit; collide, knock into; sound"
"qiáo","翘(翹)","turn up, lift, elevate, raise"
"cáo","槽","trough; manger; vat, tank; groo"
"tǎng","淌","trickle; flow down; drip"
"zhà","栅","fence; palisade; grid"
"tuí","颓","ruined, decayed; disintegrate"
"xūn","熏(熏 燻)","smoke, fog, vapor; smoke, cure"
"yīng","瑛","luster of gem; crystal"
"yí","颐","cheeks; jaw; chin; rear; to nou"
"cǔn","忖","guess, suppose, conjecture"
