"sound","character","meaning"
"yōu","幽","quiet, secluded, tranquil; dark"
"yuàn","怨","hatred, enmity, resentment"
"xié","鞋","shoes, footwear in general"
"diū","丢(丟)","discard"
"mái","埋","bury, secrete, conceal"
"quán","泉","spring, fountain; wealth, money"
"yǒng","涌(湧 涌)","surge up, bubble up, gush forth"
"xiá","辖(轄)","linchpin of wheel; control"
"duǒ","躲","hide, secrete; avoid, escape"
"jìn","晋(晉)","advance, increase; promote"
"zǐ","紫","purple, violet; amethyst; surna"
"jiān","艰(艱)","difficult, hard; distressing"
"wèi","魏","kingdom of Wei; surname"
"wú","吾","i, my, our; resist, impede"
"huāng","慌","nervous, panicky, frantic"
"zhù","祝","pray for happiness or blessings"
"yóu","邮(郵)","postal, mail; post office"
"tǔ","吐","vomit, spew out, cough up"
"hěn","狠","vicious, cruel; severely"
"jiàn","鉴(鑒 鑑)","mirror, looking glass; reflect"
"yuē","曰","say; KangXi radical 73"
"xiè","械","weapons; implements"
"yǎo","咬","bite, gnaw"
"lín","邻(鄰)","neighbor; neighborhood"
"chì","赤","red; communist, 'red'; bare"
"jǐ","挤(擠)","crowd, squeeze, push against"
"wān","弯(彎)","bend, curve"
"yǐ","椅","chair, seat"
"péi","陪","accompany, be with"
"gē","割","cut, divide, partition; cede"
"jiē","揭","raise, lift up; surname"
"wéi","韦","tanned leather; surname; simpli"
"wù","悟","to apprehend, realize"
"cōng","聪(聰)","intelligent, clever, bright"
"wù","雾(霧)","fog, mist, vapor, fine spray"
"fēng","锋(鋒)","point of spear, sharp point"
"tī","梯","ladder, steps, stairs; lean"
"māo","猫(貓)","cat"
"xiáng","祥","good luck, good omen; happiness"
"kuò","阔(闊)","broad, ample, wide; be apart"
"yù","誉(譽)","fame, reputation; praise"
"chóu","筹(籌)","chip, tally, token; raise money"
"cóng","丛(叢)","bush, shrub; thicket; collectio"
"qiān","牵(牽)","drag, pull, lead by hand"
"míng","鸣(鳴)","cry of bird or animal; make sou"
"chén","沈","sink, submerge; addicted to; su"
"gé","阁","chamber, pavilion; cabinet"
"mù","穆","majestic, solemn, reverent; cal"
"qū","屈","bend, flex; bent, crooked; crou"
"zhǐ","旨","purpose, aim; excellent"
"xiù","袖","sleeve; put something in sleeve"
"xí","猎(獵)","hunt; field sports"
"bì","臂","arm"
"shé","蛇","snake"
"hè","贺(賀)","congratulate; send present"
"zhù","柱","pillar, post; support; lean on"
"pāo","抛(拋)","throw (away)"
"shǔ","鼠","rat, mouse; KangXi radical 208"
"sè","瑟","large stringed musical instrume"
"gē","戈","halberd, spear, lance; rad. 62"
"láo","牢","prison; stable, pen; secure"
"xùn","逊(遜)","humble, modest; yield"
"mài","迈(邁)","take a big stride; pass by"
"qī","欺","cheat, double-cross, deceive"
"dūn","吨(噸)","metric ton; (Cant.) to babble"
"qín","琴","Chinese lute or guitar"
"shuāi","衰","decline, falter, decrease; weak"
"píng","瓶","jug, pitcher, vase, jar, bottle"
"nǎo","恼(惱)","angered, filled with hate"
"yàn","燕","swallow (bird); comfort, enjoy"
"zhòng","仲","middle brother; go between"
"yòu","诱(誘)","persuade, entice, induce; guide"
"láng","狼","wolf"
"chí","池","pool, pond; moat; cistern"
"téng","疼","aches, pains; be fond of; love"
"lú","卢","cottage, hut; surname; black"
"zhàng","仗","rely upon; protector; fight; wa"
"guān","冠","cap, crown, headgear"
"lì","粒","grain; small particle"
"yáo","遥(遙)","far away, distant, remote"
"lǚ","吕","surname; a musical note"
"xuán","玄","deep, profound, abstruse; KangX"
"chén","尘(塵)","dust, dirt, ashes, cinders"
"féng","冯","surname; gallop; by dint of"
"fǔ","抚(撫)","pat, console, comfort; pacify"
"qiǎn","浅(淺)","shallow, not deep; superficial"
"dūn","敦","esteem; honest, candid, sincere"
"jiū","纠(糾)","investigate, inspect"
"zuàn","钻(鑽)","drill, bore; pierce; diamond"
"jīng","晶","crystal; clear, bright; radiant"
"qǐ","岂(豈)","how? what?"
"xiá","峡(峽)","gorge, strait, ravine; isthmus"
"cāng","苍(蒼)","blue; green"
"pēn","喷(噴)","spurt, blow out, puff out"
"hào","耗","consume, use up; waste"
"líng","凌","pure; virtuous; insult; maltrea"
"qiāo","敲","strike, beat, pound, hammer; ra"
"jūn","菌","mushroom; germ, microbe"
"péi","赔(賠)","indemnify, suffer loss"
"tú","涂(涂 凃 塗)","surname; name of certain rivers"
"cuì","粹","pure; unadulterated; select"
"biǎn","扁","flat; tablet, signboard"
"yú","亏(虧)","lose, fail; damage; deficient"
"jì","寂","still, silent, quiet, desolate"
"méi","煤","coal, coke, charcoal, carbon"
"xióng","熊","a bear; brilliant; bright; surn"
"gōng","恭","respectful, polite, reverent"
"shī","湿(溼 濕)","wet, moist, humid, damp; illnes"
"xún","循","obey, comply with, follow"
"nuǎn","暖(煖 暖)","warm, genial"
"táng","糖(糖 醣)","sugar; candy; sweets"
"fù","赋(賦)","tax; give; endow; army; diffuse"
"yì","抑","press down, repress; curb"
"zhì","秩","order; orderly; salary; decade"
"mào","帽","hat, cap; cap-like tops"
"āi","哀","sad, mournful, pitiful; pity"
"sù","宿","stop, rest, lodge"
"tà","踏","step on, trample, tread on"
"làn","烂(爛)","rotten, spoiled, decayed"
"yuán","袁","robe; surname"
"hóu","侯","marquis, lord; target in archer"
"dǒu","抖","tremble, shake, rouse; give sha"
"jiā","夹(夾)","be wedged or inserted between"
"kūn","昆(崑 昆)","elder brother; descendants"
"gān","肝","liver"
"cā","擦","wipe, scrub, rub, scour; brush"
"zhū","猪(豬)","pig, hog, wild boar"
"liàn","炼(煉 鍊)","smelt, refine; distill"
"héng","恒(恆 恒)","constant, regular, persistent"
"shèn","慎","act with care, be cautious"
"bān","搬","transfer, move, remove, shift"
"niǔ","纽(紐)","knot; button; handle, knob; tie"
"wén","纹(紋)","line, streak, stripe; wrinkle"
"bō","玻","glass"
"yú","渔(漁)","to fish; seize; pursue; surname"
"cí","磁","magnetic; magnetism; porcelain"
"tóng","铜(銅)","copper, brass, bronze"
"chǐ","齿(齒)","teeth; gears, cogs; age; simpli"
"kuà","跨","straddle, bestride, ride; carry"
"yā","押","mortgage, pledge; deposit; to p"
"bù","怖","terror, fear; frighten; terrifi"
"mò","漠","desert; aloof, indifferent"
"pí","疲","feel tired, be exhausted; weak"
"pàn","叛","rebel; rebellion; rebellious"
"qiǎn","遣","send, dispatch; send off, exile"
"zī","兹","now, here; this; time, year"
"jì","祭","sacrifice to, worship"
"zuì","醉","intoxicated, drunk; addicted to"
"quán","拳","fist; various forms of boxing"
"mí","弥(瀰 彌)","extensive, full; fill; complete"
"xié","斜","slanting, sloping, inclined"
"dǎng","档(檔)","shelf; frame, crosspiece"
"xī","稀","rare, unusual, scarce; sparse"
"jié","捷","win, victory, triumph"
"fū","肤(膚)","skin; superficial, shallow"
"yì","疫","epidemic, plague, pestilence"
"zhǒng","肿(腫)","swell; swollen; swelling"
"dòu","豆(荳 豆)","beans, peas; bean-shaped"
"xuē","削","scrape off, pare, trim"
"gǎng","岗(崗)","post; position"
"huǎng","晃","bright, dazzling; to sway"
"tūn","吞","swallow; absorb, annex, engulf"
"hóng","宏","wide, spacious, great, vast"
"ái","癌","cancer; marmoset"
"dù","肚","belly; abdomen; bowels"
"lì","隶(隸)","subservient; servant; KangXi ra"
"lǚ","履","footwear, shoes; walk on, tread"
"zhǎng","涨(漲)","rise in price"
"yào","耀","shine, sparkle, dazzle; glory"
"niǔ","扭","turn, twist, wrench; seize"
"tán","坛(罈 壇)","altar; arena, examination hall"
"bō","拨(撥)","move; dispel; distribute"
"wò","沃","water, irrigate; fertile, rich"
"huì","绘(繪)","draw, sketch, paint"
"fá","伐","cut down, subjugate, attack"
"kān","堪","adequately capable of"
"pū","仆","fall forward; lie prostrate"
"guō","郭","outer part (of a city); surname"
"xī","牺(犧)","sacrifice, give up; sacrificial"
"jiān","歼","annihilate, wipe out, kill off"
"mù","墓","grave, tomb"
"gù","雇(雇 僱)","employ, to hire"
"lián","廉","upright, honorable, honest"
"qì","契","deed, contract, bond; engrave"
"pīn","拼","join together, link"
"chéng","惩(懲)","punish, reprimand; warn"
"zhuō","捉","grasp, clutch; catch, seize"
"fù","覆","cover; tip over; return; reply"
"shuā","刷","brush; clean with brush, scrub"
"jié","劫","take by force, coerce; disaster"
"xián","嫌","hate, detest; suspect; criticiz"
"guā","瓜","melon, gourd, cucumber; rad. 97"
"xiē","歇","rest, stop, lodge"
"diāo","雕(鵰 彫 雕)","engrave, inlay, carve; exhaust;"
"mèn","闷(悶)","gloomy, depressed, melancholy"
"rǔ","乳","breast, nipples; milk, suckle"
"chuàn","串","string; relatives; conspire"
"wá","娃","baby; doll; pretty girl"
"jiǎo","缴(繳)","deliver, submit; hand over"
"huàn","唤","call"
"yíng","赢(贏)","win; surplus, gain, profit"
"lián","莲","lotus, water lily; paradise"
"bà","霸","rule by might rather than right"
"táo","桃","peach; marriage; surname"
"tuǒ","妥","satisfactory, appropriate"
"shòu","瘦","thin, emaciated, lean; meager"
"dā","搭","join together, attach to; add t"
"fù","赴","go to; attend, be present"
"yuè","岳(嶽 岳)","mountain peak; surname"
"jiā","嘉","excellent; joyful; auspicious"
"cāng","舱(艙)","hold of ship; cabin"
"jùn","俊","talented, capable; handsome"
"zhǐ","址","site, location, land for house"
"páng","庞(龐)","disorderly, messy; huge, big"
"gēng","耕","plow, cultivate"
"ruì","锐(銳 鋭)","sharp, keen, acute, pointed"
"féng","缝(縫)","sew, mend"
"huǐ","悔","repent, show remorse, regret"
"yāo","邀","invite, welcome; meet"
"líng","玲","tinkling of jade"
"wéi","惟","but, however, nevertheless; onl"
"chì","斥","to scold, upbraid, accuse"
"zhái","宅","residence, dwelling, home; grav"
"tiān","添","append, add to; increase"
"wā","挖","dig, dig out, gouge out, scoop"
"hē","呵","scold; laughing sound; yawn"
"sòng","讼(訟)","accuse; argue, dispute; litigat"
"yǎng","氧","oxygen"
"hào","浩","great, numerous, vast, abundant"
"yǔ","羽","feather, plume; wings; rad. 124"
"jīn","斤","a catty (approximately 500 g); "
"kù","酷","strong, stimulating; very"
"lüè","掠","rob, ransack, plunder; pass by"
"yāo","妖","strange, weird, supernatural"
"huò","祸(禍)","misfortune, calamity, disaster"
"shì","侍","serve, attend upon; attendant"
"yǐ","乙","second; 2nd heavenly stem"
"fáng","妨","interfere with, impede"
"tān","贪(貪)","be greedy, covet; covetous"
"zhēng","挣(掙)","strive, endeavor, struggle"
"wāng","汪","vast, extensive, deep; surname"
"niào","尿","urine; urinate"
"lì","莉","white jasmine"
"xuán","悬(懸)","hang, suspend, hoist; be hung"
"chún","唇(脣 唇)","lips"
"hàn","翰","writing brush, pen, pencil"
"cāng","仓(倉)","granary; berth; sea"
"guǐ","轨(軌)","track, rut, path"
"méi","枚","stalk of shrub, trunk of tree"
"yán","盐(鹽)","salt"
"lǎn","览(覽)","look at, inspect; perceive"
"fù","傅","tutor, teacher; assist; surname"
"shuài","帅(帥)","commander, commander-in-chief"
"miào","庙(廟)","temple, shrine; imperial court"
"fēn","芬","fragrance, aroma; perfume"
"píng","屏","folding screen, shield"
"sì","寺","court, office; temple"
"pàng","胖","fat, obese; fatty"
"lí","璃(璃 琍)","glass"
"yú","愚","stupid, doltish, foolish"
"dī","滴","drip; drop of water"
"shū","疏","neglect; careless, lax"
"xiāo","萧","common artemisia; dejected"
"zī","姿","one's manner, carriage, bearing"
"zhàn","颤(顫)","shiver, tremble; trembling"
"chǒu","丑(醜 丑)","clown, comedian; 2nd terrestria"
"liè","劣","bad, inferior; slightly"
"kē","柯","axe-handle; stalk, bough; surna"
"cùn","寸(吋 寸)","inch; small, tiny; KangXi radic"
"rēng","扔","throw, hurl; throw away, cast"
"dīng","盯","rivet gaze upon, keep eyes on"
"rǔ","辱","humiliate, insult, abuse"
"pǐ","匹(匹 疋)","bolt of cloth; counter for hors"
"jù","俱","all, together; accompany"
"biàn","辨","distinguish, discriminate"
"è","饿(餓)","hungry; greedy for; hunger"
"fēng","蜂","bee, wasp, hornet"
"é","哦","oh? really? is that so?"
"qiāng","腔","chest cavity; hollow in body"
"yù","郁(郁 鬱)","sweet smelling, rich in aroma; "
"kuì","溃(潰)","flooding river; militarily defe"
"jǐn","谨(謹)","prudent, cautious; attentive"
"zāo","糟(蹧 糟)","sediment, dregs; pickle"
"gé","葛","edible bean; surname"
"miáo","苗","sprouts; Miao nationality"
"cháng","肠","intestines; emotions; sausage"
"jì","忌","jealous, envious; fear"
"liū","溜","slide, glide, slip; slippery"
"hóng","鸿","species of wild swan; vast"
"jué","爵","feudal title or rank"
"péng","鹏","fabulous bird of enormous size"
"yīng","鹰","falcon; Accipiter species (vari"
"lóng","笼(籠)","cage; cage-like basket"
"qiū","丘(坵 丘)","hill; elder; empty; a name"
"guì","桂","cassia or cinnamon"
"zī","滋","grow, multiply, increase; thriv"
"liáo","聊","somewhat, slightly, at least"
"dǎng","挡(攩 擋)","obstruct, impede; stop; resist"
"gāng","纲(綱)","heavy rope, hawser; main points"
"jī","肌","muscle tissue; meat on bones"
"cí","茨","thatching; caltrop"
"ké","壳(殼)","casing, shell, husk"
"hén","痕","scar; mark; trace"
"wǎn","碗","bowl, small dish"
"xué","穴","cave, den, hole; KangXi radical"
"bǎng","膀","upper arm; shoulder; wing"
"zhuō","卓","profound, brilliant, lofty"
"xián","贤(賢)","virtuous, worthy, good; able"
"wò","卧(臥 卧)","lie down; crouch"
"mò","膜","membrane; to kneel and worship"
"yì","毅","resolute, decisive, firm"
"jǐn","锦(錦)","brocade, tapestry; embroidered"
"qiàn","欠","owe, lack, be deficient; KangXi"
"lī","哩","mile"
"hán","函","correspondence; a case; a box"
"máng","茫","vast, boundless, widespread"
"áng","昂","rise, raise; proud, bold; uprig"
"xuē","薛","kind of marsh grass; feudal sta"
"zhòu","皱(皺)","wrinkles, creases, folds"
"kuā","夸(誇 夸)","extravagant, luxurious; handsom"
"yù","豫","relaxed, comfortable, at ease"
"wèi","胃","stomach; gizzard of fowl"
"shé","舌","tongue; clapper of bell; KangXi"
"bō","剥(剝)","peel"
"ào","傲","proud, haughty, overbearing"
"shí","拾","pick up, collect, tidy up; acco"
"wō","窝(窩)","nest; cave, den; hiding place"
"zhēng","睁(睜)","open eyes; stare"
"xī","携(攜)","lead by hand, take with; carry"
"líng","陵","hill, mound; mausoleum"
"hēng","哼","hum; sing softly; groan, moan; "
"mián","棉","cotton; cotton padded"
"qíng","晴","clear weather, fine weather"
"líng","铃(鈴)","bell"
"tián","填","fill in, fill up; make good"
"sì","饲(飼)","raise animals; feed; nourish"
"kě","渴","thirsty, parched; yearn, pine"
"wěn","吻","kiss; the lips; coinciding"
"bàn","扮","dress up; dress up as"
"nì","逆","disobey, rebel; rebel, traitor"
"cuì","脆","crisp; fragile, frail; brittle"
"chuǎn","喘","pant, gasp, breathe heavily"
"zhào","罩","basket for catching fish; cover"
"bǔ","卜","fortune telling; prophesy"
"lú","炉(爐)","fireplace, stove, oven, furnace"
"chái","柴","firewood, faggots, fuel"
"yú","愉","pleasant, delightful; please"
"shéng","绳(繩)","rope, string, cord; control"
"tāi","胎","unborn child, embryo, fetus"
"xù","蓄","store, save, hoard, gather"
"mián","眠","close eyes, sleep; hibernate"
"jié","竭","put forth great effort; exhaust"
"wèi","喂(餵 喂)","interjection to call attention"
"shǎ","傻","foolish, silly, stupid; an imbe"
"mù","慕","long for, desire; admire"
"hún","浑(渾)","muddy, turbid; blend, merge"
"jiān","奸","crafty, villainous, false"
"shàn","扇(搧 扇)","fan; door panel"
"guì","柜(櫃)","cabinet, cupboard; shop counter"
"yuè","悦(悦 悅)","pleased, contented, gratified"
"lán","拦(攔)","obstruct, impede, bar, hinder"
"dàn","诞(誕)","bear children, give birth; birt"
"bǎo","饱(飽)","eat heartily; eat one's fill"
"gān","乾","dry; first hexagram; warming pr"
"pào","泡","bubbles, suds; blister; soak"
