"sound","character","meaning"
"jiù","救","save, rescue, relieve; help"
"guì","贵(貴)","expensive, costly, valuable"
"qiāng","枪(鎗 槍)","spear, lance; gun, rifle"
"quē","缺","be short of, lack; gap, deficit"
"lóu","楼(樓)","building of two or more stories"
"xiàn","县(縣)","county, district, subdivision"
"shàng","尚","still, yet; even; fairly"
"háo","毫","fine hair; measure of length"
"yí","移","change place, shift; move about"
"niáng","娘(孃 娘)","mother; young girl; woman; wife"
"péng","朋","friend, pal, acquaintance"
"huà","画(畫)","a painting, picture, drawing; t"
"bān","班","class, group, grade; squad; job"
"zhì","智","wisdom, knowledge, intelligence"
"yì","亦","also, too; likewise"
"ěr","耳","ear; merely, only; handle"
"ēn","恩","kindness, mercy, charity"
"duǎn","短","short; brief; deficient"
"zhǎng","掌","palm of hand, sole of foot, paw"
"kǒng","恐","fear; fearful, apprehensive"
"yí","遗(遺)","lose; articles lost; omit"
"gù","固","to become solid, solidify; stre"
"xí","席(席 蓆)","seat; mat; take seat; banquet"
"sōng","松(松 鬆)","pine tree; fir tree"
"mì","秘(秘 祕)","secret, mysterious, abstruse"
"xiè","谢(謝)","thank; decline"
"lǔ","鲁(魯)","foolish, stupid, rash; vulgar"
"yù","遇","meet, come across, encounter"
"kāng","康","peaceful, quiet; happy, healthy"
"lǜ","虑(慮)","be concerned, worry about"
"xìng","幸(倖 幸)","luck(ily), favor, fortunately"
"jūn","均","equal, even, fair; all, also"
"xiāo","销(銷)","melt, fuse; market, sell"
"zhōng","钟(鍾 鐘)","clock; bell"
"shī","诗(詩)","poetry; poem, verse, ode"
"cáng","藏","hide, conceal; hoard, store up"
"gǎn","赶(趕)","pursue, follow; expel"
"jù","剧(劇)","theatrical plays, opera, drama"
"piào","票","slip of paper or bamboo; ticket"
"sǔn","损(損)","diminish; impair; injure"
"hū","忽","suddenly, abruptly; neglect"
"jù","巨(鉅 巨)","large, great, enormous; chief"
"pào","炮(砲 炮)","large gun, cannon; artillery"
"jiù","旧(舊)","old, ancient; former, past"
"duān","端","end, extreme; head; beginning"
"tàn","探","find, locate; search, grope for"
"hú","湖","a lake; Hubei, Hunan; bluish-gr"
"lù","录(錄)","copy, write down, record"
"xié","叶(葉)","to harmonize, to rhyme; to unit"
"chūn","春","spring; wanton"
"xiāng","乡(鄉)","country; rural; village"
"fù","附","adhere to, append; rely on near"
"xī","吸","inhale, suck in; absorb; attrac"
"yú","予","I, me; to give"
"lǐ","礼(禮)","social custom; manners; courtes"
"gǎng","港","port, harbor; small stream; bay"
"yǔ","雨","rain; rainy; KangXi radical 173"
"yā","呀","particle used to express surpri"
"bǎn","板(板 闆)","plank, board; iron or tin plate"
"tíng","庭","courtyard; spacious hall or yar"
"fù","妇(婦)","married women; woman; wife"
"guī","归(歸)","return; return to, revert to"
"jīng","睛","eyeball; pupil of eye"
"fàn","饭(飯)","cooked rice; food, meal"
"é","额(額)","forehead; tablet, plaque; fixed"
"hán","含","hold in mouth; cherish; contain"
"shùn","顺(順)","obey, submit to, go along with"
"shū","输(輸)","transport, carry, haul"
"yáo","摇(搖)","wag, swing, wave; shake; scull"
"zhāo","招","beckon, summon; recruit, levy"
"hūn","婚","get married; marriage, wedding"
"tuō","脱(脱 脫)","take off"
"bǔ","补(補)","mend, patch, fix, repair"
"wèi","谓(謂)","say, tell; call, name; be calle"
"dū","督","supervise, oversee, direct"
"dú","毒","poison, venom; poisonous"
"yóu","油","oil, fat, grease, lard; paints"
"liáo","疗(療)","be healed, cured, recover"
"lǚ","旅","trip, journey; travel; traveler"
"zé","泽(澤)","marsh, swamp; grace, brilliance"
"cái","材","material, stuff; timber; talent"
"miè","灭(滅)","extinguish; wipe out"
"zhú","逐","chase, expel; one by one"
"mò","莫","do not, is not, can not; negati"
"bǐ","笔(筆)","writing brush; write; stroke"
"wáng","亡","death, destroyed; lose, perish"
"xiān","鲜(鮮)","fresh; delicious; attractive"
"cí","词(詞)","words; phrase, expression"
"shèng","圣(聖)","holy, sacred"
"zé","择(擇)","select, choose, pick out"
"xún","寻(尋)","seek, search, look for; ancient"
"chǎng","厂(廠)","factory, workshop; radical 27"
"shuì","睡","sleep, doze"
"bó","博","gamble, play games; wide, broad"
"lè","勒","strangle, tighten"
"yān","烟(煙 菸)","smoke, soot; opium; tobacco"
"shòu","授","give to, transmit; confer"
"nuò","诺(諾)","promise; assent, approve"
"lún","伦(倫)","normal human relationships"
"àn","岸","bank, shore; beach, coast"
"ào","奥(奧)","mysterious, obscure, profound"
"táng","唐","Tang dynasty; Chinese"
"mài","卖(賣)","sell; betray; show off"
"é","俄","sudden(ly), soon; Russian"
"zhà","炸","to fry in oil; to scald; to exp"
"zài","载(載)","load; carry; transport, convey"
"luò","洛","river in Shanxi province; city"
"jiàn","健","strong, robust, healthy; streng"
"táng","堂","hall; government office"
"páng","旁","side; by side, close by, near"
"gōng","宫(宮)","palace"
"hē","喝","drink; shout, call out"
"jiè","借(借 藉)","borrow; lend; make pretext of"
"jūn","君","sovereign, monarch, ruler"
"jìn","禁","restrict, prohibit, forbid"
"yīn","阴(陰)","female' principle; dark; secret"
"yuán","园(園)","garden; park, orchard"
"móu","谋(謀)","plan, scheme; strategem"
"sòng","宋","Song dynasty; surname"
"bì","避","avoid; turn aside; escape; hide"
"zhuā","抓","scratch; clutch, seize, grab"
"róng","荣(榮)","glory, honor; flourish, prosper"
"gū","姑","father's sister; husband's moth"
"sūn","孙(孫)","grandchild, descendent; surname"
"táo","逃","escape, flee; abscond, dodge"
"yá","牙","tooth, molars, teeth; serrated"
"shù","束","bind, control, restrain; bale"
"tiào","跳","jump, leap, vault, bounce; danc"
"dǐng","顶(頂)","top, summit, peak; to carry on "
